[481.483089365262,430.77292917169,51.1261773710531].
[481.478631518366,430.772124636033,51.0879613631612].
[481.471281771366,430.770798180982,51.0249538180685].
[481.46682392447,430.769993645325,50.9867378101766].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.46682392447,430.769993645325,50.9867378101766].
[481.471281771366,430.770798180982,51.0249538180685].
[481.478631518365,430.772124636033,51.0879613631612].
[481.483089365262,430.77292917169,51.1261773710531].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.483089365262,430.77292917169,51.1261773710531].
[481.478631518366,430.772124636033,51.0879613631612].
[481.471281771366,430.770798180982,51.0249538180685].
[481.46682392447,430.769993645325,50.9867378101766].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.465829244378,430.769814129155,50.9782106662154].
[481.488432206232,430.801061607147,50.9538264785966].
[481.589731653332,430.941103087738,50.8445441314561].
[481.756746206475,431.171992455571,50.6643680012135].
[481.858045653575,431.312033936163,50.555085654073].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.880648615429,431.343281414155,50.5307014664542].
[481.903252788455,431.374530566531,50.5063159722173].
[482.00455766365,431.514579551196,50.3970277692214].
[482.171581166208,431.745481291152,50.2168419843053].
[482.272886041402,431.885530275817,50.1075537813093].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.295490214428,431.916779428194,50.0831682870725].
[482.318095598723,431.94803025509,50.0587814861127].
[482.419405902449,432.08808674443,49.9494874267905].
[482.586438355142,432.319000857505,49.7692919864249].
[482.687748658867,432.459057346846,49.6599979271028].
[482.710354043162,432.490308173742,49.635611126143].
[482.710354043162,432.490308173742,49.635611126143].
[482.710354043162,432.490308173742,49.635611126143].
[482.710354043162,432.490308173742,49.635611126143].
[482.710354043162,432.490308173742,49.635611126143].
[482.710354043162,432.490308173742,49.635611126143].
[482.710354043162,432.490308173742,49.635611126143].
[482.780377159323,432.490308173742,49.6446508909747].
[483.094198993695,432.490308173742,49.6851643062192].
[483.659002214245,432.482769277199,49.7853747949864].
[484.185249329809,432.448982286961,49.9756445644712].
[484.605502525507,432.393276957481,50.2315908159612].
[484.817927806699,432.359489967243,50.3813471702014].
[484.865326293711,432.3519510707,50.4147623295063].
[484.865326293711,432.3519510707,50.4147623295063].
[484.865326293711,432.3519510707,50.4147623295063].
[484.842725756161,432.320711493751,50.4309087637159].
[484.741437174043,432.180705423178,50.5032720614377].
[484.573499671899,431.949707648194,50.6225789696099].
[484.467994437381,431.808954083858,50.6949422673318].
[484.43844181533,431.776482098044,50.7110887015413].
[484.411620753661,431.744492586567,50.7354461816574].
[484.309373957367,431.604308788838,50.8446088340748].
[484.142348709185,431.373459767301,51.0245876210815].
[484.041042775217,431.233442757975,51.1337502734989].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[484.018438365946,431.20220074026,51.158107753615].
[483.996786194089,431.17113541232,51.1824639437934].
[483.898796851812,431.031735236384,51.2916208151109].
[483.734545472307,430.801407331976,51.4715900706952].
[483.630479880102,430.660888846062,51.5807469420127].
[483.581963426086,430.597800355814,51.6294580325342].
[483.479717181415,430.457623140862,51.738609123211].
[483.312709623372,430.226798569231,51.9185688481301].
[483.236230229691,430.03620767331,52.0855860217585].
[483.324844961996,429.778246068005,52.3692787136087].
[483.508210379216,429.404443205948,52.7968544467628].
[483.642024860463,429.208950853532,53.0318441911964].
[483.768116687598,429.29832772552,52.980589897695].
[483.935092610147,429.529091967951,52.8006808119701].
[484.036368626606,429.66905755615,52.6915604355171].
[484.058966360378,429.70028810026,52.6672123884437].
[484.058966360378,429.70028810026,52.6672123884437].
[484.058966360378,429.70028810026,52.6672123884437].
[484.058966360378,429.70028810026,52.6672123884437].
[484.058966360378,429.70028810026,52.6672123884437].
[484.058966360378,429.70028810026,52.6672123884437].
[484.058966360378,429.70028810026,52.6672123884437].
[484.058966360378,429.70028810026,52.6672123884437].
[484.106361699764,429.70028810026,52.676373779964].
[484.318772874275,429.70028810026,52.7174322882096].
[484.691575541929,429.712163050341,52.7851263240974].
[485.027851315282,429.796610226756,52.80183976893].
[485.343481546728,430.024306138337,52.7018941558357].
[485.611719916627,430.308266557361,52.5220071165453].
[485.735588680323,430.460092746708,52.4129001119307].
[485.758185722644,430.491320089138,52.3885550485177].
[485.758185722644,430.491320089138,52.3885550485177].
[485.758185722644,430.491320089138,52.3885550485177].
[485.780783961276,430.522549084777,52.3642086962514].
[485.882062240362,430.66250773321,52.2550959153968].
[486.071641328389,430.924491182879,52.0508517114745].
[486.274203248482,431.204415889499,51.8326203730667].
[486.463789980416,431.466409902448,51.6283679339342].
[486.542474186385,431.575145311656,51.543597017603].
[486.463789980416,431.466409902448,51.6283679339342].
[486.296801487114,431.235644885138,51.8082740208004].
[486.195517846107,431.09567882695,51.9173925783536].
[486.195517846107,431.09567882695,51.9173925783536].
[486.296801487114,431.235644885138,51.8082740208003].
[486.463789980416,431.466409902448,51.6283679339342].
[486.565073621423,431.606375960635,51.519249376381].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.587673056461,431.637606609614,51.494901735159].
[486.589458517749,431.637929541752,51.5107439080111].
[486.597460400088,431.639376823187,51.581743600933].
[486.610653273705,431.641762986872,51.6988023048664].
[486.618655156044,431.643210268307,51.7698019977883].
[486.643031389941,431.674757584023,51.7612585951093].
[486.765987073997,431.84576837641,51.6197143744956].
[487.030212908132,432.215745788221,51.294968180121].
[487.291880528954,432.585282530998,50.9473407811812].
[487.411772649572,432.755765604477,50.7783953968797].
[487.433483514935,432.786838418257,50.7461397435978].
[487.43259887535,432.786684547263,50.7382396498381].
[487.428634195791,432.785994945313,50.7028338859808].
[487.422097544269,432.784857983909,50.6444596500037].
[487.465491502749,432.764786027288,50.6425795529284].
[487.676853553654,432.677766469214,50.7849310735618].
[488.0267891869,432.534549163229,51.0326541061686].
[488.23903587739,432.447683476148,51.1829057205617].
[488.28639451543,432.428301121478,51.2164313873437].
[488.28639451543,432.428301121478,51.2164313873437].
[488.28639451543,432.428301121478,51.2164313873437].
[488.28639451543,432.428301121478,51.2164313873437].
[488.28639451543,432.459530221623,51.1920854410176].
[488.28639451543,432.59948933842,51.0829744794608].
[488.285117951334,432.880869039272,50.8530601814392].
[488.27939678798,433.247864750042,50.5197718392768].
[488.269964184264,433.653827609096,50.1258198771363].
[488.264243020909,433.881797194471,49.9016424965307].
[488.332896298145,433.944910630383,49.8606539414351].
[488.646300103734,433.998087808336,49.9011333626597].
[489.163015624327,434.085521390609,49.9678726454584].
[489.477265934572,434.138693823262,50.008352066683].
[489.572741755779,434.162847564453,50.0173842464235].
[489.676483264449,434.21627216042,50.0173842464235].
[489.887488388116,434.30326642522,50.0188622691015].
[490.194144147903,434.355650631252,50.0254863071828].
[490.559362286684,434.366721128848,50.0364074996653].
[490.767684903535,434.36570353379,50.0430315377466].
[490.814167962395,434.365086331188,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814167962395,434.364948614673,50.0445095604246].
[490.814993194869,434.365086331188,50.0520607679591].
[490.818691630227,434.36570353379,50.0859029322343].
[490.824789319269,434.366721128848,50.1416992283214].
[490.828487754627,434.36733833145,50.1679901850621].
[490.829312987101,434.367476047965,50.1416992283214].
[490.830134954466,434.367613219593,50.0859029322343].
[490.833818756626,434.368227980176,50.0520607679591].
[490.839892319605,434.369241549026,50.0595820984502].
[490.843576121765,434.36985630961,50.1271325273817].
[490.844398089131,434.369993481237,50.2385043564061].
